,kl_18_101,kl_101_18,ent_18,ent_101,ce_18_101,ce_101_18
520,1.4809287325351688,0.2828955100262929,1.3257271961597155,0.01403887248459786,1.3257271961597155,3.838143419901516
521,1.6346996160095681,1.6025360696270186,1.4153301824552669,1.1674675137642823,1.4153301824552669,2.85844849123882
522,0.004163714833061403,0.05052115853078956,6.95449313799431e-06,0.030529201961682163,6.95449313799431e-06,0.00010066276711503459
523,0.012715043401501844,0.04292261433047075,0.014365716423137616,0.07210225613908809,0.014365716423137616,0.08978722191662021
524,1.5764056054016278,2.2100086259453087,1.6704177905612871,1.7021276934577942,1.6704177905612871,3.97213795073411
525,0.09108954114826237,0.22615652076969486,0.32554801069183303,0.46161457659160066,0.32554801069183303,1.0854832877690557
526,8.414221285579883,3.586319859111415,0.38415530989293833,0.6044995222154113,0.38415530989293833,1.0652265445954914
527,1.102544666487227,9.921317883321183,1.323209879175943e-05,1.2099694215122105,1.323209879175943e-05,0.00018805769129485715
528,3.185165847970266,4.739528830979911,0.6351943086042284,0.822497032289694,0.6351943086042284,1.5160989214630511
529,0.7901339068569343,4.594907019591613,0.0013845475921200818,0.8479952733006264,0.0013845475921200818,0.01158943284930922
530,0.0749926772003055,0.09965449915289422,0.31000202774540553,0.3780527187982049,0.31000202774540553,1.0560936072921052
531,7.543391842409802,5.587803739117269,1.0153276600651344,0.7104193944853573,1.0153276600651344,2.4397880778038865
532,1.8358807176858367,2.58145006913856,1.4692256556423675,1.5336106383835713,1.4692256556423675,2.83613711235833
533,0.0654464302696378,0.02193974975148621,0.26303359161633233,0.09526462906895965,0.26303359161633233,0.9640352143945772
534,0.8297401033287827,1.0202678727903067,1.378666130543018,1.9279627510778015,1.378666130543018,3.203386106060108
535,7.893185016266249,5.641115234604931,2.497262155220594,0.1996261997292451,2.497262155220594,5.349220518690286
536,0.010660896392160593,0.00164788038388746,0.01634952558993813,0.00015377788348450944,0.01634952558993813,0.10817802307236113
