,kl_18_101,kl_101_18,kl_18_50,kl_50_18,ent_18,ent_50,ent_101,ce_18_101,ce_101_18,ce_18_50,ce_50_18,nll_18,nll_101,brier_18,brier_101
16,6.043686649442294e-08,-1.6738948473915263e-09,5.7033221428979406e-08,1.210516666817147e-07,2.878102012151913e-07,3.5985292375776864e-07,1.4448157681327649e-08,3.4824706770961404e-07,1.2774262833936132e-08,3.4484342264417066e-07,4.809045904394833e-07,-0.0,-0.0,2.220446049250313e-16,0.0
17,5.069592074501854e-13,1.940718220486302e-09,2.9215437660102716e-12,2.7406658628656144e-13,1.031819206844633e-11,1.6946132889099127e-12,2.9062559205998253e-09,1.082515127589652e-11,4.8469741410861275e-09,1.3239735834456605e-11,1.9686798751964744e-12,-0.0,-0.0,0.0,0.0
18,1.3699361713706894e-06,9.977989897311616e-08,2.219164226116956e-06,9.997452339033034e-08,2.548103832933405e-06,1.991275348035824e-10,6.648557169210563e-10,3.918040004304096e-06,1.004447545870087e-07,4.767268059050362e-06,1.0017365082210535e-07,1.0000000494736474e-07,-0.0,2.1649348980190553e-14,0.0
19,-4.217555283815508e-14,4.3479928895263804e-08,2.4766970584161482e-14,3.981025044232831e-11,2.610258651624941e-13,8.609652769271662e-11,4.115410952658198e-08,2.188503123243391e-13,8.463403842184579e-08,2.857928357466556e-13,1.2590677813504496e-10,-0.0,-0.0,0.0,0.0
20,7.564892832895812e-09,1.238639510145868e-08,5.496390269281836e-09,4.978968089565281e-08,6.73292695406377e-08,2.695759693706675e-07,1.0079936760700578e-07,7.48941623735335e-08,1.1318576270846443e-07,7.282565980991951e-08,3.1936565026632026e-07,-0.0,-0.0,0.0,0.0
21,-5.037120076510815e-14,2.338621053544721e-09,5.649792455974089e-13,1.8405044859165435e-14,2.3917335063139734e-12,1.4247480271433127e-13,3.187329295376321e-09,2.341362305548866e-12,5.525950348921041e-09,2.9567127519113828e-12,1.608798475734967e-13,-0.0,-0.0,0.0,0.0
22,-5.386944497361973e-10,3.355127891488005e-09,7.307729505233342e-09,3.553661840855077e-10,3.3863690723828066e-08,4.418624863035065e-09,6.778092917269256e-08,3.332499627409186e-08,7.113605706418056e-08,4.1171420229061386e-08,4.773991047120573e-09,-0.0,-0.0,0.0,0.0
23,2.7982452363391277e-05,8.356322601158206e-05,7.044626108878314e-05,4.718093501899104e-06,7.041673337643305e-05,9.437776007241687e-07,0.00044393871432796083,9.839918573990834e-05,0.0005275019403395675,0.00014086299446521616,5.661871102613701e-06,4.9000120050135855e-06,3.490060901911875e-05,3.50343087873739e-11,1.7050617584501992e-09
24,3.564786147579737e-08,6.833186261246801e-10,3.651836195883252e-08,-3.866353415130287e-11,1.6892808093473613e-07,7.310509593573021e-09,1.1967385457485713e-08,2.0457594241053352e-07,1.2650704083610389e-08,2.0544644289356866e-07,7.271846059421719e-09,-0.0,-0.0,0.0,0.0
25,6.586718046229872e-08,5.322069051437134e-08,7.161172101637951e-08,1.3395682727084905e-08,2.2385113896416025e-07,7.112155836583462e-08,2.107792415060706e-07,2.897183194264589e-07,2.639999320204418e-07,2.954628599805397e-07,8.451724109291954e-08,-0.0,-0.0,0.0,0.0
26,0.00018047232439592615,1.908660876282841e-05,9.652203662659055e-05,1.729424243700081e-05,0.00025781316365735467,1.0505489723583273e-05,3.261194856535478e-08,0.00043828548805328074,1.9119220711296313e-05,0.00035433520028394834,2.7799732160544946e-05,1.910018240737229e-05,-0.0,4.705009715166852e-10,0.0
27,2.624344129963477e-05,2.3996248593410052e-06,1.2005766079521305e-05,2.2907005154396162e-06,3.514445266388938e-05,9.142611657469736e-07,8.539746476583811e-10,6.138789396352418e-05,2.400478834054414e-06,4.71502187434107e-05,3.20496168125234e-06,2.400002879962599e-06,-0.0,8.110068172584306e-12,0.0
