,kl_18_101,kl_101_18,kl_18_50,kl_50_18,ent_18,ent_50,ent_101,ce_18_101,ce_101_18,ce_18_50,ce_50_18,nll_18,nll_101,brier_18,brier_101
0,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
1,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,2.392441834948271e-05,1e-05,3.104824436329293e-05,1e-05,1e-05,-0.0,1.5500012012680571e-06,0.0,4.154787625054723e-12
2,0.0001,0.0001,0.0001,0.0001,1.866396646875474e-05,1e-05,1e-05,2.248631767444805e-05,1e-05,2.0595511072419914e-05,1e-05,1.2000007200350829e-06,-0.0,2.71282996067157e-12,6.661338147750939e-16
3,0.008915734564416458,0.056813120978754,0.00033539051589844535,0.00014374144404592123,0.0006198977454215688,1e-05,0.05972788144919399,0.00920136192792121,0.10774756216047594,0.0008368388820757566,5.859308367675492e-05,5.410146345772814e-05,0.008880313525946731,4.991364099815598e-09,0.0001102234402997615
4,0.0001,0.00011012464258200194,0.0001,0.0001,1e-05,1e-05,5.712592076675818e-05,1e-05,7.676431437045477e-05,1e-05,1e-05,2.400000287847015e-07,4.050008201305337e-06,1.170175067954915e-13,2.5534574454866288e-11
5,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
6,0.0001,0.0001,0.0001,0.0001,2.5025434378248016e-05,1e-05,4.1254021792214316e-05,3.229668113957544e-05,4.993802854998958e-05,2.864766675261151e-05,1e-05,1.6700013944052054e-06,2.7400037538079318e-06,5.3719251269512824e-12,1.2645107183573145e-11
7,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,1.7763568394002505e-15,2.6645352591003757e-15
8,0.0001,0.0001,0.0001,0.0001,1.0118524626286478e-05,1e-05,1e-05,1.25680451113235e-05,1e-05,1.1845389219304858e-05,1e-05,7.000002449647321e-07,1.0000000494736474e-07,6.326050794314142e-13,2.4868995751603507e-14
9,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,3.6000006483257204e-07,2.400000287847015e-07,2.460254222569347e-13,9.248157795127554e-14
10,0.0001060846565840414,0.0001,0.00010158330388900191,0.0001,5.464996298952475e-05,1e-05,1e-05,7.349738108363095e-05,1e-05,6.7008502018934e-05,1e-05,3.80000722001654e-06,-0.0,2.2882140626734326e-11,0.0
11,0.0001234678769369954,0.0001,0.00010028779540754324,0.0001,9.243271663133859e-05,1.4730289548547886e-05,1e-05,0.00013209073506201995,1e-05,0.00010273561202486259,1.8901966230535815e-05,6.800023120078305e-06,-0.0,7.469735940901501e-11,0.0
12,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,1.3322676295501878e-15,1.3322676295501878e-15
13,0.0001,0.0001,0.0001,0.0001,1e-05,1.0771141708829993e-05,1e-05,1e-05,1e-05,1e-05,1.200900069767938e-05,1.0000000494736474e-07,-0.0,1.9761969838327786e-14,1.1102230246251565e-15
14,0.0004801647170050102,0.00014973178390900878,0.0005836479540501355,0.0007439026814338911,0.000683836091888594,0.0019969584757015993,1.315362304203208e-05,0.0010303508223180565,7.060603633662137e-05,0.0011605620912076998,0.00250229418400978,6.0561833830825524e-05,8.300003444018933e-07,6.209073921681352e-09,1.169730978745065e-12
15,0.0004369601844041164,0.001405767367415464,0.0001,0.0001,0.00014087899886212665,0.00010358316352197592,0.0033709679652237736,0.00045028150460282423,0.004357849912909187,0.00014272216056133248,0.00010774314533701387,1.1300063845528353e-05,0.0003582641689439765,2.511778562919176e-10,2.2017944711905102e-07
16,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1.072668755957316e-05,1e-05,1e-05,-0.0,5.000001249589083e-07,2.220446049250313e-16,4.920508445138694e-13
17,0.0004567419144744518,0.00041445269204809114,0.008317657988223308,0.00160349476378096,0.011386013638136816,9.427351215654677e-05,0.009251539835414425,0.011429470940018314,0.009292196260227604,0.018103556143465822,0.0015713524920040513,0.0015206556109072077,0.0011958147014882498,4.615642478444926e-06,2.851470056963734e-06
18,0.001718081832125926,0.0041830496178843326,0.0031929571092560167,0.00044946459965850146,0.0035499996533746962,1e-05,0.010526732739772757,0.005017736117485532,0.013552898213821251,0.006323363801909233,0.00036017496050787625,0.00035946459965855153,0.001357460933335251,1.8835662385363605e-07,3.5684466160867956e-06
19,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.0000000494736474e-07,-0.0,2.098321516541546e-14,1.5543122344752192e-15
20,0.0111275387547662,0.0005927263457160434,0.00878310036521508,0.0005927263457160434,0.004323122392183412,1e-05,1e-05,0.014859987185475793,0.0005030429330567503,0.012516040893877497,0.000502738383870885,0.0005027263457160312,-0.0,5.049228847253673e-07,4.440892098500626e-16
21,0.00043027612604141857,0.00014220136247505838,0.0003803652720659348,0.00014687161716118893,0.000634065721179391,1.390638361058282e-05,7.791031196755647e-05,0.0009266038988100246,0.00014329661786408344,0.000879407054893678,6.928883469296799e-05,5.77016647090855e-05,5.500015125047081e-06,6.3622991319789435e-09,4.3151260342710884e-11
22,0.0001,0.00011819967147590836,0.0001,0.0001,1e-05,2.10656801200006e-05,8.699865183395747e-05,1e-05,0.00010910708900428823,1e-05,2.3378457525603614e-05,1.0000000494736474e-07,6.560021516882898e-06,1.8540724511240114e-14,8.434630771603224e-11
23,0.00010624013187042413,0.00013507553543998956,0.0001,0.0001,3.1756025477072145e-05,1.2183393550475811e-05,0.00021852494426846395,4.544038957570869e-05,0.0002472599901307589,3.306643642190549e-05,1.2684182692872572e-05,2.0000019999491555e-06,1.8240166350770017e-05,6.467382185348924e-12,6.612704828157234e-10
24,0.001507269229233074,0.0011980944953664514,0.007187675783298766,0.0025417335719280475,0.018320353132313182,0.0016976742814534406,0.01192578815157595,0.01866398164915655,0.01222553506951211,0.022994923921932902,0.0036747428718375903,0.0026280803799546212,0.0015675780086563933,1.3701429174783897e-05,4.7549743711350345e-06
25,0.0001,0.00010264837746345482,0.0001,0.00010070643295407992,1e-05,5.764405549581409e-05,3.909312090636928e-05,1e-05,4.975910531306226e-05,1e-05,7.40160563676772e-05,-0.0,2.7400037538079318e-06,6.661338147750939e-16,1.4288237260018377e-11
26,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,2.220446049250313e-15,0.0
27,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.0000000494736474e-07,-0.0,1.787459069646502e-14,0.0
28,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,1.7763568394002505e-15
29,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
30,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.0000000494736474e-07,-0.0,1.3766765505351941e-14,3.3306690738754696e-15
31,0.00010190007080555251,0.00017619748490406545,0.0001,0.0001,1e-05,1e-05,0.00014677390398527558,1.2395049944511406e-05,0.0002210687458800286,1e-05,1e-05,-0.0,1.1900070805515339e-05,2.220446049250313e-16,2.8302149512882124e-10
32,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,1.9984014443252818e-15,1.1102230246251565e-15
